NR_041599.1,Acanthopleuribacter pedis strain NBRC 101209 16S ribosomal RNA,Bacteria; Acidobacteria; Holophagae; Acanthopleuribacterales; Acanthopleuribacteraceae; Acanthopleuribacter; pedis; NBRC 101209
NR_041761.1,Thermoactinomyces vulgaris strain KCTC 9076 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Thermoactinomyces; vulgaris; KCTC 9076
NR_119001.1,Thermoanaerobacter acetoethylicus strain ATCC 33265 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; acetoethylicus; ATCC 33265
NR_044620.1,Thermoanaerobacter acetoethylicus strain HTB2 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; acetoethylicus; HTB2
NR_117610.1,Thermoanaerobacter brockii strain DSM 1457 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; brockii; DSM 1457
NR_117609.1,Thermoanaerobacter brockii strain DSM 1457 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; brockii; DSM 1457
NR_117608.1,Thermoanaerobacter brockii strain DSM 1457 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; brockii; DSM 1457
NR_117607.1,Thermoanaerobacter brockii strain DSM 1457 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; brockii; DSM 1457
NR_027577.1,Thermoanaerobacter brockii strain HTD4 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; brockii; HTD4
NR_075060.1,Thermoanaerobacter brockii subsp. finnii strain Ako-1 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; brockii; Ako-1
NR_025897.1,Thermoanaerobacter brockii subsp. finnii strain AKo-1 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; brockii; AKo-1
NR_025956.1,Thermoanaerobacter brockii subsp. lactiethylicus strain SEBR 5268 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; brockii; SEBR 5268
NR_044619.1,Thermoanaerobacter ethanolicus strain JW-200 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; ethanolicus; JW-200
NR_075057.1,Thermoanaerobacter italicus strain Ab9 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; italicus; Ab9
NR_041995.1,Thermoanaerobacter italicus strain AM9 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; italicus; AM9
NR_115188.1,Thermoanaerobacter keratinophilus strain 2KXI 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; keratinophilus; 2KXI
NR_044617.1,Thermoanaerobacter kivui strain LKT-1 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; kivui; LKT-1
NR_026397.1,Thermoanaerobacter mathranii strain A3 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; mathranii; A3
NR_043132.1,Thermoanaerobacter mathranii subsp. alimentarius strain AIP 505.99 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; mathranii; AIP 505.99
NR_074681.1,Thermoanaerobacter mathranii subsp. mathranii str. A3 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; mathranii; A3
NR_117447.1,Thermoanaerobacter pentosaceus strain DTU01 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; pentosaceus; DTU01
NR_121591.1,Thermoanaerobacter pseudethanolicus strain 39E 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; pseudethanolicus; 39E
NR_118662.1,Thermoanaerobacter pseudethanolicus strain 39E 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; pseudethanolicus; 39E
NR_102969.1,Thermoanaerobacter pseudethanolicus strain 39E 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; pseudethanolicus; 39E
NR_028743.1,Thermoanaerobacter siderophilus strain SR4 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; siderophilus; SR4
NR_041792.1,Thermoanaerobacter sulfurigignens strain JW/SL-NZ826 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; sulfurigignens; JW/SL-NZ826
NR_026458.1,Thermoanaerobacter sulfurophilus strain L-64 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; sulfurophilus; L-64
NR_025898.1,Thermoanaerobacter thermocopriae strain JT-3 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; thermocopriae; JT-3
NR_044618.1,Thermoanaerobacter thermohydrosulfuricus strain E100-69 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; thermohydrosulfuricus; E100-69
NR_044266.1,Thermoanaerobacter uzonensis strain JW/IW010 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; uzonensis; JW/IW010
NR_075059.1,Thermoanaerobacter wiegelii Rt8.B1 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; wiegelii; Rt8.B1
NR_029301.1,Thermoanaerobacter wiegelii Rt8.B1 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; wiegelii; Rt8.B1
NR_042856.1,Thermoanaerobacterium aciditolerans strain 761-119 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Thermoanaerobacterium; aciditolerans; 761-119
NR_026296.1,Thermoanaerobacterium aotearoense strain JW/SL-NZ613 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Thermoanaerobacterium; aotearoense; JW/SL-NZ613
NR_113051.1,Thermoanaerobacterium calidifontis strain Rx1 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Thermoanaerobacterium; calidifontis; Rx1
NR_044621.1,Thermoanaerobacterium saccharolyticum DSM 7060 strain B6A-RI 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Thermoanaerobacterium; saccharolyticum; DSM 7060 | B6A-RI
NR_074419.1,Thermoanaerobacterium thermosaccharolyticum DSM 571 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Thermoanaerobacterium; thermosaccharolyticum; DSM 571
NR_117205.1,Thermoanaerobacterium thermosaccharolyticum strain CECT 5852 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Thermoanaerobacterium; thermosaccharolyticum; CECT 5852
NR_122103.1,Thermoanaerobacterium thermostercoris strain Buff 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Thermoanaerobacterium; thermostercoris; Buff
NR_044622.1,Thermoanaerobacterium thermosulfurigenes strain 4B 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Thermoanaerobacterium; thermosulfurigenes; 4B
NR_102771.1,Thermoanaerobacterium xylanolyticum strain LX-11 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Thermoanaerobacterium; xylanolyticum; LX-11
NR_044623.1,Thermoanaerobacterium xylanolyticum strain LXII 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Thermoanaerobacterium; xylanolyticum; LXII
NR_102440.1,Thermobacillus composti KWC4 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Thermobacillus; composti; KWC4
NR_041449.1,Thermobacillus composti KWC4 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Thermobacillus; composti; KWC4
NR_025282.1,Thermobacillus xylanilyticus strain XE 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Thermobacillus; xylanilyticus; XE
NR_026352.1,Thermobrachium celere strain NZ35 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Thermobrachium; celere; NZ35
NR_126170.1,Thermoclostridium caenicola strain EBR596 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Hungateiclostridiaceae; Thermoclostridium; caenicola; EBR596
NR_114799.1,Thermoclostridium stercorarium strain DSM 8532 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Hungateiclostridiaceae; Thermoclostridium; stercorarium; DSM 8532
NR_102513.1,Thermoclostridium stercorarium strain DSM 8532 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Hungateiclostridiaceae; Thermoclostridium; stercorarium; DSM 8532
NR_025100.1,Thermoclostridium stercorarium subsp. leptospartum 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Hungateiclostridiaceae; Thermoclostridium; stercorarium; u-st
NR_113197.1,Thermoclostridium stercorarium subsp. leptospartum strain JCM 9762 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Hungateiclostridiaceae; Thermoclostridium; stercorarium; JCM 9762
NR_026113.1,Thermoclostridium stercorarium subsp. thermolacticum strain TX41 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Hungateiclostridiaceae; Thermoclostridium; stercorarium; TX41
NR_156074.1,Thermodesulfitimonas autotrophica strain SF97 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermodesulfitimonas; autotrophica; SF97
NR_156901.1,Thermodesulfobium acidiphilum strain 3127-1 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermodesulfobiaceae; Thermodesulfobium; acidiphilum; 3127-1
NR_074466.1,Thermodesulfobium narugense strain DSM 14796 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermodesulfobiaceae; Thermodesulfobium; narugense; DSM 14796
NR_025005.1,Thermoflavimicrobium dichotomicum strain KCTC 3667 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Thermoflavimicrobium; dichotomicum; KCTC 3667
NR_024960.1,Thermohalobacter berrensis strain CTT3 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Thermohalobacter; berrensis; CTT3
NR_117161.1,Thermohydrogenium kirishiense strain DSM 11055 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Thermohydrogenium; kirishiense; DSM 11055
NR_117160.1,Thermohydrogenium kirishiense strain DSM 11055 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Thermohydrogenium; kirishiense; DSM 11055
NR_104808.1,Thermohydrogenium kirishiense strain ZE-7 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Thermohydrogenium; kirishiense; ZE-7
NR_043542.1,Thermolithobacter carboxydivorans strain R1 16S ribosomal RNA,Bacteria; Firmicutes; Thermolithobacteria; Thermolithobacterales; Thermolithobacteraceae; Thermolithobacter; carboxydivorans; R1
NR_104574.1,Thermolithobacter ferrireducens strain JW/KA-2 16S ribosomal RNA,Bacteria; Firmicutes; Thermolithobacteria; Thermolithobacterales; Thermolithobacteraceae; Thermolithobacter; ferrireducens; JW/KA-2
NR_041802.1,Thermolithobacter ferrireducens strain JW/KA-2 16S ribosomal RNA,Bacteria; Firmicutes; Thermolithobacteria; Thermolithobacterales; Thermolithobacteraceae; Thermolithobacter; ferrireducens; JW/KA-2
NR_125531.1,Thermolongibacillus altinsuensis strain E265 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Thermolongibacillus; altinsuensis; E265
NR_125533.1,Thermolongibacillus kozakliensis strain E173a 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Thermolongibacillus; kozakliensis; E173a
NR_043135.1,Thermosediminibacter litoriperuensis strain JW/YJL-1230-7/2 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Thermosediminibacter; litoriperuensis; JW/YJL-1230-7/2
NR_074461.1,Thermosediminibacter oceani DSM 16646 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Thermosediminibacter; oceani; DSM 16646
NR_043134.1,Thermosediminibacter oceani strain JW/IW-1228P 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Thermosediminibacter; oceani; JW/IW-1228P
NR_117169.1,Thermosinus carboxydivorans strain DSM 14886 16S ribosomal RNA,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae; Thermosinus; carboxydivorans; DSM 14886
NR_117168.1,Thermosinus carboxydivorans strain DSM 14886 16S ribosomal RNA,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae; Thermosinus; carboxydivorans; DSM 14886
NR_117167.1,Thermosinus carboxydivorans strain DSM 14886 16S ribosomal RNA,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae; Thermosinus; carboxydivorans; DSM 14886
NR_117166.1,Thermosinus carboxydivorans strain DSM 14886 16S ribosomal RNA,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae; Thermosinus; carboxydivorans; DSM 14886
NR_026356.1,Thermosyntropha lipolytica strain JW265 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Thermosyntropha; lipolytica; JW265
NR_109048.1,Thermosyntropha tengcongensis strain L-60 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Thermosyntropha; tengcongensis; L-60
NR_044503.1,Thermotalea metallivorans strain B2-1 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Thermotalea; metallivorans; B2-1
NR_042719.1,Thermovenabulum ferriorganovorum strain Z-9801 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Thermovenabulum; ferriorganovorum; Z-9801
NR_104554.1,Thermovenabulum gondwanense strain R270 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Thermovenabulum; gondwanense; R270
NR_116290.1,Thermovorax subterraneus strain 70B 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Thermovorax; subterraneus; 70B
NR_025162.1,Tindallia californiensis strain APO 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Tindallia; californiensis; APO
NR_026446.1,Tindallia magadiensis strain Z-7934 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Tindallia; magadiensis; Z-7934
NR_043664.1,Tindallia texcoconensis strain IMP-300 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Tindallia; texcoconensis; IMP-300
NR_133054.1,Tissierella carlieri strain LBN 295 16S ribosomal RNA,Bacteria; Firmicutes; Tissierellia; Tissierellales; Tissierellaceae; Tissierella; carlieri; LBN 295
NR_104805.1,Tissierella creatinini strain BN11 16S ribosomal RNA,Bacteria; Firmicutes; Tissierellia; Tissierellales; Tissierellaceae; Tissierella; creatinini; BN11
NR_117378.1,Tissierella creatinini strain DSM 9508 16S ribosomal RNA,Bacteria; Firmicutes; Tissierellia; Tissierellales; Tissierellaceae; Tissierella; creatinini; DSM 9508
NR_117155.1,Tissierella creatinini strain DSM 9508 16S ribosomal RNA,Bacteria; Firmicutes; Tissierellia; Tissierellales; Tissierellaceae; Tissierella; creatinini; DSM 9508
NR_117377.1,Tissierella creatinophila strain DSM 6911 16S ribosomal RNA,Bacteria; Firmicutes; Tissierellia; Tissierellales; Tissierellaceae; Tissierella; creatinophila; DSM 6911
NR_037028.1,Tissierella creatinophila strain Kre4 16S ribosomal RNA,Bacteria; Firmicutes; Tissierellia; Tissierellales; Tissierellaceae; Tissierella; creatinophila; Kre4
NR_119111.1,Tissierella praeacuta strain ATCC 25539 16S ribosomal RNA,Bacteria; Firmicutes; Tissierellia; Tissierellales; Tissierellaceae; Tissierella; praeacuta; ATCC 25539
NR_117376.1,Tissierella praeacuta strain ATCC 25539 16S ribosomal RNA,Bacteria; Firmicutes; Tissierellia; Tissierellales; Tissierellaceae; Tissierella; praeacuta; ATCC 25539
NR_044860.1,Tissierella praeacuta strain NCTC 11158 16S ribosomal RNA,Bacteria; Firmicutes; Tissierellia; Tissierellales; Tissierellaceae; Tissierella; praeacuta; NCTC 11158
NR_147369.1,Traorella massiliensis strain Marseille-P3110 16S ribosomal RNA,Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Traorella; massiliensis; Marseille-P3110
NR_159288.1,Trichococcus alkaliphilus strain B5 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Trichococcus; alkaliphilus; B5
NR_042061.1,Trichococcus collinsii strain 37AN3 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Trichococcus; collinsii; 37AN3
NR_119273.1,Trichococcus flocculiformis strain DSM 2094 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Trichococcus; flocculiformis; DSM 2094
NR_042060.1,Trichococcus flocculiformis strain DSM 2094 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Trichococcus; flocculiformis; DSM 2094
NR_152056.1,Trichococcus ilyis strain R210 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Trichococcus; ilyis; R210
NR_159287.1,Trichococcus paludicola strain B7-2 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Trichococcus; paludicola; B7-2
NR_025435.1,Trichococcus palustris strain DSM 9172 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Trichococcus; palustris; DSM 9172
NR_118691.1,Trichococcus pasteurii strain ATCC 35945 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Trichococcus; pasteurii; ATCC 35945
NR_036793.2,Trichococcus pasteurii strain KoTa2 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Trichococcus; pasteurii; KoTa2
NR_041841.1,Trichococcus patagoniensis strain PmagG1 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Trichococcus; patagoniensis; PmagG1
NR_041315.1,Tuberibacillus calidus strain 607 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Sporolactobacillaceae; Tuberibacillus; calidus; 607
NR_136476.1,Tumebacillus algifaecis strain THMBR28 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Alicyclobacillaceae; Tumebacillus; algifaecis; THMBR28
NR_109600.1,Tumebacillus flagellatus strain GST4 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Alicyclobacillaceae; Tumebacillus; flagellatus; GST4
